author,title,summary
Justin Lee,Chatbots were the next big thing: what happened? – The Startup – Medium,"But a bot isn’t the same as a human. Remember: a bot that does ONE thing well is infinitely more helpful than a bot that does multiple things poorly. Building a bot for the sake of it, letting it loose and hoping for the best will never end well:
The vast majority of bots are built using decision-tree logic, where the bot’s canned response relies on spotting specific keywords in the user input. The next wave will be multimodal apps, where you can say what you want (like with Siri) and get back information as a map, text, or even a spoken response. Are chatbots cheaper or faster than apps? At the end of the day, no amount of witty quips or human-like mannerisms will save a bot from conversational failure. Despite the constant hype around AI, we’re still a long way from achieving anything remotely human-like. Conversational UIs are built to replicate the way humans prefer to communicate — with other humans. Computers aren’t good at understanding human emotion. What is too complicated is trying to complete these tasks with a bot — and having the bot fail."
Conor Dewey,Python for Data Science: 8 Concepts You May Have Forgotten,"Lambda functions are used for creating small, one-time and anonymous function objects in Python. The basic syntax of lambda functions is:
Note that lambda functions can do everything that regular functions can do, as long as there’s just one expression. So given a starting and stopping point, as well as a number of values, linspace will evenly space them out for you in a NumPy array. Check out the simple example below and the upcoming video to get a better feel for the power of lambda functions:
Once you have a grasp on lambda functions, learning to pair them with the map and filter functions can be a powerful tool. The filter function takes in a list and a rule, much like map, however it returns a subset of the original list by comparing each element against the boolean filtering rule. For creating quick and easy Numpy arrays, look no further than the arange and linspace functions. Note that the list function simply converts the output to list type. Think of apply as a map function, but made for Pandas DataFrames or more specifically, for Series. Writing out a for loop every time you need to define some sort of list is tedious, luckily Python has a built-in way to address this problem in just one line of code. Ever get tired of creating function after function for limited use cases?"
William Koehrsen,Automated Feature Engineering in Python – Towards Data Science,"Deep feature synthesis in turn stacks feature primitives — aggregations, which act across a one-to-many relationship between tables, and transformations, functions applied to one or more columns in a single table — to build new features from multiple tables. Deep feature synthesis stacks multiple transformation and aggregation operations (which are called feature primitives in the vocab of featuretools) to create features from data spread across many tables. Feature engineering, also known as feature creation, is the process of constructing new features from existing data to train a machine learning model. Using concepts of entitysets, entities, and relationships, featuretools can perform deep feature synthesis to create new features. A deep feature is simply a feature made of stacking multiple primitives and dfs is the name of process that makes these features. For example, we have the month each client joined which is a transformation feature primitive:
We also have a number of aggregation primitives such as the average payment amounts for each client:
Even though we specified only a few feature primitives, featuretools created many new features by combining and stacking these primitives. To do this, we use the same ft.dfs function call but do not pass in any feature primitives:
Featuretools has built many new features for us to use. These are simply the basic operations that we use to form new features:
New features are created in featuretools using these primitives either by themselves or stacking multiple primitives. To make features with specified primitives we use the ft.dfs function (standing for deep feature synthesis). Automated feature engineering has solved one problem, but created another: too many features."
Gant Laborde,Machine Learning: how to go from Zero to Hero – freeCodeCamp,"If you want to do something new, not just new to you, but to the world, you can do it with ML. Even if you’re not a Java buff, the presentation Jim gives on all things Machine Learning is a pretty cool 1.5+ hour introduction into ML concepts, which includes more info on many of the examples above. It’s cool watching data go through a trained model, but you can even watch your neural network get trained. But more so, if you do make it through, you’ll have a deep understanding of the implementation of Machine Learning that will catapult you into successfully applying it in new and world-changing ways. So how does something like that even work? You can teach a computer to play video games, understand language, and even how to identify people or things. In this approach, you’ll understand Machine Learning down to the algorithms and the math. The only problem is we don’t know Machine Learning, and we don’t know how to hook it up to video games. One of the classic real-world examples of Machine Learning in action is the iris data set from 1936. I’m talking about Machine Learning."
Emmanuel Ameisen,Reinforcement Learning from scratch – Insight Data,"We learn our policy directly with policy gradients (defined above), and learn a value function using something called Advantage. While the value function tells us how good we estimate each action to be, the policy is the function that determines which actions we end up taking. 4+/Leveraging deep learning for representations
In practice, many state of the art RL methods require learning both a policy and value estimates. This allows us to learn a good value function. On-policy methods can only learn from actions that were taken following our policy (remember, a policy is the method we use to determine which actions to take). Previously, we were first learning a value function Q for each action in each state and then building a policy on top. The approach we will use here is called Policy Gradients, and is an on-policy method. We will use a method called Temporal Difference (TD) learning to learn a good Q function. In Vanilla Policy Gradient, we still use Monte Carlo Estimates, but we learn our policy directly through a loss function that increases the probability of choosing rewarding actions. A note about off-policy vs on-policy learning: The methods we used previously, are off-policy methods, meaning we can generate data with any strategy(using epsilon greedy for example) and learn from it."
Irhum Shafkat,Intuitively Understanding Convolutions for Deep Learning,"Each filter in a convolution layer produces one and only one output channel, and they do it like so:
Each of the kernels of the filter “slides” over their respective input channels, producing a processed version of each. Even if were we to apply a kernel of the same size (3×3), having the same local area, to the output of the strided convolution, the kernel would have a larger effective receptive field:
This is because the output of the strided layer still does represent the same image. If this were a standard fully connected layer, you’d have a weight matrix of 25×9 = 225 parameters, with every output feature being the weighted sum of every single input feature. The output features are essentially, the weighted sums (with the weights being the values of the kernel itself) of the input features located roughly in the same location of the output pixel on the input layer. Each filter actually happens to be a collection of kernels, with there being one kernel for every single input channel to the layer, and each kernel being unique. Convolutions allow us to do this transformation with only 9 parameters, with each output feature, instead of “looking at” every input feature, only getting to “look” at input features coming from roughly the same location. And with the single filter case down, the case for any number of filters is identical: Each filter processes the input with its own, different set of kernels and a scalar bias with the process described above, producing a single output channel. Followed by a final pooling layer, which collapses each 7×7 grid into a single pixel, each channel is a feature detector with a receptive field equivalent to the entire image. Both are methods of increasing the receptive field, but dilated convolutions are a single layer, while this takes place on a regular convolution following a strided convolution, with a nonlinearity inbetween)
This expansion of the receptive field allows the convolution layers to combine the low level features (lines, edges), into higher level features (curves, textures), as we see in the mixed3a layer. The kernels of a filter each produce one version of each channel, and the filter as a whole produces one overall output channel."
Sam Drozdov,An intro to Machine Learning for designers – UX Collective,"Since machine learning is now more accessible than ever before, designers today have the opportunity to think about how machine learning can be applied to improve their products. Supervised learning allows us to make predictions using correctly labeled data. Understanding the problem you are trying to solve and the available data will constrain the types of machine learning you can use (e.q. Machine learning allows us to make predictions about how a user might behave next. For the same reasons, designers should know about machine learning. Reinforcement learning doesn’t use an existing data set. If you are interested in learning more about machine learning, here are some helpful resources:
Thanks for reading. Depending on the application and what data is available, there are different types of machine learning algorithms to choose from. Over the past decade new algorithms, better hardware, and more data have made machine learning an order of magnitude more effective. Machine learning can help create user-centric products by personalizing experiences to the individuals who use them."
Conor Dewey,The Big List of DS/ML Interview Resources – Towards Data Science,"Data science interviews certainly aren’t easy. Specifically, I highly recommend checking out the first two links regarding 120 Data Science Interview Questions. This won’t be covered in every single data science interview, but it’s certainly not uncommon. If you’re interested in receiving my weekly rundown of interesting articles and resources focused on data science, machine learning, and artificial intelligence, then subscribe to Self Driven Data Science using the form below! Machine learning is a complex field that is a virtual guarantee in data science interviews today. Here’s some of the more general resources covering data science as a whole. Through this exciting and somewhat (at times, very) painful process, I’ve accumulated a plethora of useful resources that helped me prepare for and eventually pass data science interviews. A data science interview typically isn’t complete without checking your knowledge of SQL. Even Data Scientists cannot escape the dreaded algorithmic coding interview. Lastly, this post is part of an ongoing initiative to ‘open-source’ my experience applying and interviewing at data science positions, so if you enjoyed this content then be sure to follow me for more stuff like this."
Abhishek Parbhakar,Must know Information Theory concepts in Deep Learning (AI),"Cross entropy between two probability distributions p and q defined over same set of outcomes is given by:
Mutual information is a measure of mutual dependency between two probability distributions or random variables. The probability distribution of experiment is used to calculate the entropy. Mutual information of two discrete random variables X and Y is defined as:
where p(x,y) is the joint probability distribution of X and Y, and p(x) and p(y) are the marginal probability distribution of X and Y respectively. Cross entropy is used to compare two probability distributions. KL divergence between ‘P’ and ‘Q’ tells us how much information we lose when we try to approximate data given by ‘P’ with ‘Q’. Entropy gives a measure of uncertainty in an experiment. KL divergence of a probability distribution Q from another probability distribution P is defined as:
KL divergence is commonly used in unsupervised machine learning technique Variational Autoencoders. For example, in an deterministic experiment, we always know the outcome, so no new information gained is here from observing the outcome and hence entropy is zero. The information gained for a outcome of an experiment is defined as a function of probability of occurrence of that outcome. KL divergence is another measure to find similarities between two probability distributions."
Aman Dalmia,What I learned from interviewing at multiple AI companies and start-ups,"Also, when I was preparing, I noticed people using a lot of resources but as per my experience over the past months, I realised that one can do away with a few minimal ones for most roles in AI, all of which I’m going to mention at the end of the post. There are mostly two types of interviews — one, where the interviewer has come with come prepared set of questions and is going to just ask you just that irrespective of your profile and the second, where the interview is based on your CV. Now we come to the conclusion of the interview where the interviewer would ask you if you have any questions for them. People DO go through your Github because that’s the only way they have to validate what you have mentioned in your CV, given that there’s a lot of noise today with people associating all kinds of buzzwords with their profile. The motive of this kind of interview is to really check whether whatever you have written on your CV is true or not:
There would be a lot of questions on what could be done differently or if “X” was used instead of “Y”, what would have happened. This post arose from a discussion with one of my juniors on the lack of really fulfilling job opportunities offered through campus placements for people working in AI. Also, you won’t need to prepare answers to various kinds of questions that you get asked during an interview. It’s really easy to think that your interview is done and just say that you have nothing to ask. The resources mentioned in the Minimal Resources you need for preparation section should suffice, but make sure that you don’t miss out one bit among them. In the process, not only did I get an opportunity to interact with many great minds, but also had a peek at myself along with a sense of what people really look for when interviewing someone."
